Emilia Pérez,2024,5.6/10,"Emilia Pérez follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finall... Read all"
Wicked,2024,7.6/10,"Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard... Read all"
Companion,2025,7.4/10,A billionaire's death sets off a chain of events for Iris and her friends during a weekend trip to his lakeside estate.
Anora,2024,7.8/10,"A young escort from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to ge... Read all"
Saturday Night,2024,7.0/10,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the f... Read all"
Sonic the Hedgehog 3,2024,7.0/10,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team So... Read all"
Back in Action,2025,5.9/10,Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.
Babygirl,2024,6.2/10,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
Gladiator II,2024,6.6/10,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to it... Read all"
Star Trek: Section 31,2025,3.8/10,"In Star Trek: Section 31, Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets, and must face the sins of her past."
A Complete Unknown,2024,7.7/10,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performan... Read all"
The Substance,2024,7.3/10,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself."
You're Cordially Invited,2025,5.5/10,"When two weddings are double-booked at the same venue, the father of one bride and the sister of the other bride try to preserve the wedding weekend."
Flight Risk,2025,5.5/10,"A pilot transports an Air Marshal accompanying a fugitive to trial. As they cross the Alaskan wilderness, tensions soar and trust is tested, as not everyone on board is who they seem."
Conclave,2024,7.4/10,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the ... Read all"
Nosferatu,2024,7.4/10,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
Blink Twice,2024,6.5/10,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange thin... Read all"
A Real Pain,2024,7.1/10,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
The Brutalist,2024,8.0/10,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, w... Read all"
Den of Thieves 2: Pantera,2025,6.4/10,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of ... Read all"
The Wild Robot,2024,8.2/10,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby ... Read all"
Pushpa: The Rule - Part 2,2024,6.2/10,"A smuggling kingpin faces off against a vengeful rival while expanding his empire. He manipulates politics, makes big deals, and navigates tense confrontations. A public apology leads to a d... Read all"
Presence,2024,6.7/10,A family becomes convinced they are not alone after moving into their new home in the suburbs.
